Order_Date,Order_Priority,Ord_id
2010-10-13,LOW,Ord_1
2012-01-10,HIGH,Ord_2
2011-10-07,HIGH,Ord_3
2010-08-28,NOT SPECIFIED,Ord_4
2011-06-17,HIGH,Ord_5
2011-03-24,HIGH,Ord_6
2010-02-26,LOW,Ord_7
2010-11-23,MEDIUM,Ord_8
2012-08-06,NOT SPECIFIED,Ord_9
2012-04-08,NOT SPECIFIED,Ord_10
2011-05-30,MEDIUM,Ord_11
2009-11-25,NOT SPECIFIED,Ord_12
2012-02-14,CRITICAL,Ord_13
2012-04-15,LOW,Ord_14
2010-12-03,NOT SPECIFIED,Ord_15
2011-09-03,LOW,Ord_16
2012-04-08,HIGH,Ord_17
2011-06-05,HIGH,Ord_18
2010-12-23,HIGH,Ord_19
2010-08-11,LOW,Ord_20
2012-10-21,NOT SPECIFIED,Ord_21
2011-01-01,NOT SPECIFIED,Ord_22
2011-10-10,HIGH,Ord_23
2010-09-23,LOW,Ord_24
2011-07-19,CRITICAL,Ord_25
2009-09-10,HIGH,Ord_26
2010-09-12,NOT SPECIFIED,Ord_27
2012-08-10,CRITICAL,Ord_28
2012-02-05,HIGH,Ord_29
2010-08-03,MEDIUM,Ord_30
2011-05-28,NOT SPECIFIED,Ord_31
2010-09-19,MEDIUM,Ord_32
2011-08-31,HIGH,Ord_33
2011-08-07,NOT SPECIFIED,Ord_34
2009-01-30,CRITICAL,Ord_35
2012-08-01,LOW,Ord_36
2010-07-11,CRITICAL,Ord_37
2010-04-29,NOT SPECIFIED,Ord_38
2011-12-31,NOT SPECIFIED,Ord_39
2009-12-08,HIGH,Ord_40
2011-12-11,LOW,Ord_41
2012-01-20,HIGH,Ord_42
2009-03-20,MEDIUM,Ord_43
2012-07-21,LOW,Ord_44
2012-12-06,CRITICAL,Ord_45
2009-01-15,LOW,Ord_46
2010-04-06,LOW,Ord_47
2010-02-18,NOT SPECIFIED,Ord_48
2011-11-16,NOT SPECIFIED,Ord_49
2011-07-08,LOW,Ord_50
2010-08-06,MEDIUM,Ord_51
2009-10-17,MEDIUM,Ord_52
2011-08-28,HIGH,Ord_53
2011-09-29,CRITICAL,Ord_54
2012-04-05,LOW,Ord_55
2011-05-17,HIGH,Ord_56
2009-11-17,MEDIUM,Ord_57
2011-10-10,NOT SPECIFIED,Ord_58
2012-07-10,NOT SPECIFIED,Ord_59
2011-08-13,MEDIUM,Ord_60
2011-08-16,HIGH,Ord_61
2009-04-03,LOW,Ord_62
2009-08-18,CRITICAL,Ord_63
2010-11-16,NOT SPECIFIED,Ord_64
2011-05-27,LOW,Ord_65
2010-08-23,NOT SPECIFIED,Ord_66
2011-08-19,NOT SPECIFIED,Ord_67
2012-03-01,MEDIUM,Ord_68
2012-11-29,HIGH,Ord_69
2012-03-17,MEDIUM,Ord_70
2010-12-04,LOW,Ord_71
2010-08-24,HIGH,Ord_72
2011-04-07,HIGH,Ord_73
2010-10-11,CRITICAL,Ord_74
2010-06-24,CRITICAL,Ord_75
2012-09-19,MEDIUM,Ord_76
2011-12-24,LOW,Ord_77
2012-03-23,MEDIUM,Ord_78
2011-10-15,CRITICAL,Ord_79
2010-07-08,CRITICAL,Ord_80
2009-03-03,LOW,Ord_81
2010-09-02,LOW,Ord_82
2009-01-17,CRITICAL,Ord_83
2010-08-30,CRITICAL,Ord_84
2009-11-09,HIGH,Ord_85
2009-07-16,NOT SPECIFIED,Ord_86
2012-11-15,LOW,Ord_87
2011-10-09,LOW,Ord_88
2011-10-04,NOT SPECIFIED,Ord_89
2011-09-10,HIGH,Ord_90
2012-10-23,CRITICAL,Ord_91
2012-08-01,LOW,Ord_92
2010-01-25,NOT SPECIFIED,Ord_93
2011-01-27,NOT SPECIFIED,Ord_94
2009-08-27,HIGH,Ord_95
2011-03-17,CRITICAL,Ord_96
2012-06-06,CRITICAL,Ord_97
2011-11-04,HIGH,Ord_98
2012-06-11,LOW,Ord_99
2012-05-16,HIGH,Ord_100
2012-09-04,NOT SPECIFIED,Ord_101
2012-05-08,MEDIUM,Ord_102
2009-07-22,NOT SPECIFIED,Ord_103
2010-09-05,NOT SPECIFIED,Ord_104
2009-02-18,NOT SPECIFIED,Ord_105
2012-06-27,HIGH,Ord_106
2010-09-30,MEDIUM,Ord_107
2010-04-15,CRITICAL,Ord_108
2011-09-14,NOT SPECIFIED,Ord_109
2010-09-21,HIGH,Ord_110
2010-08-17,NOT SPECIFIED,Ord_111
2009-09-16,LOW,Ord_112
2009-06-22,HIGH,Ord_113
2012-08-28,NOT SPECIFIED,Ord_114
2011-07-06,CRITICAL,Ord_115
2009-09-10,NOT SPECIFIED,Ord_116
2010-05-12,NOT SPECIFIED,Ord_117
2009-07-06,LOW,Ord_118
2009-07-27,CRITICAL,Ord_119
2011-05-09,LOW,Ord_120
2009-11-01,HIGH,Ord_121
2010-08-15,MEDIUM,Ord_122
2009-05-08,NOT SPECIFIED,Ord_123
2011-09-17,MEDIUM,Ord_124
2011-10-22,LOW,Ord_125
2009-11-14,MEDIUM,Ord_126
2010-03-07,MEDIUM,Ord_127
2009-01-30,LOW,Ord_128
2012-03-15,NOT SPECIFIED,Ord_129
2009-10-08,LOW,Ord_130
2010-01-04,LOW,Ord_131
2010-07-31,HIGH,Ord_132
2009-05-29,LOW,Ord_133
2010-11-10,HIGH,Ord_134
2010-05-18,HIGH,Ord_135
2011-08-02,CRITICAL,Ord_136
2010-07-12,CRITICAL,Ord_137
2009-06-01,CRITICAL,Ord_138
2012-12-03,CRITICAL,Ord_139
2010-08-26,LOW,Ord_140
2011-06-20,HIGH,Ord_141
2010-04-08,HIGH,Ord_142
2010-11-23,HIGH,Ord_143
2009-02-08,NOT SPECIFIED,Ord_144
2011-10-08,CRITICAL,Ord_145
2010-06-05,CRITICAL,Ord_146
2012-06-28,LOW,Ord_147
2011-03-23,MEDIUM,Ord_148
2011-11-19,CRITICAL,Ord_149
2012-11-26,LOW,Ord_150
2010-07-29,NOT SPECIFIED,Ord_151
2012-12-05,LOW,Ord_152
2012-03-03,HIGH,Ord_153
2010-08-20,HIGH,Ord_154
2010-06-27,NOT SPECIFIED,Ord_155
2012-10-29,CRITICAL,Ord_156
2010-01-16,NOT SPECIFIED,Ord_157
2012-06-29,LOW,Ord_158
2011-08-08,NOT SPECIFIED,Ord_159
2010-02-21,MEDIUM,Ord_160
2011-06-20,MEDIUM,Ord_161
2009-04-09,CRITICAL,Ord_162
2009-06-21,NOT SPECIFIED,Ord_163
2012-08-02,CRITICAL,Ord_164
2009-11-03,HIGH,Ord_165
2011-04-06,LOW,Ord_166
2012-02-03,LOW,Ord_167
2011-12-08,MEDIUM,Ord_168
2009-01-09,CRITICAL,Ord_169
2010-01-26,CRITICAL,Ord_170
2011-02-09,CRITICAL,Ord_171
2012-07-02,CRITICAL,Ord_172
2011-03-19,CRITICAL,Ord_173
2011-08-05,NOT SPECIFIED,Ord_174
2009-09-25,CRITICAL,Ord_175
2012-09-07,NOT SPECIFIED,Ord_176
2010-01-14,HIGH,Ord_177
2009-08-26,HIGH,Ord_178
2009-08-10,CRITICAL,Ord_179
2011-10-11,HIGH,Ord_180
2012-04-15,HIGH,Ord_181
2012-02-01,MEDIUM,Ord_182
2011-08-03,NOT SPECIFIED,Ord_183
2009-02-07,HIGH,Ord_184
2011-04-15,CRITICAL,Ord_185
2011-11-25,HIGH,Ord_186
2012-04-25,CRITICAL,Ord_187
2011-03-26,MEDIUM,Ord_188
2010-07-14,LOW,Ord_189
2010-10-23,NOT SPECIFIED,Ord_190
2009-08-24,NOT SPECIFIED,Ord_191
2011-09-06,LOW,Ord_192
2012-11-23,MEDIUM,Ord_193
2009-01-05,NOT SPECIFIED,Ord_194
2012-11-05,CRITICAL,Ord_195
2010-10-15,CRITICAL,Ord_196
2011-07-23,LOW,Ord_197
2011-11-07,CRITICAL,Ord_198
2012-09-16,CRITICAL,Ord_199
2009-01-16,MEDIUM,Ord_200
2010-10-20,LOW,Ord_201
2010-08-30,HIGH,Ord_202
2010-07-05,CRITICAL,Ord_203
2011-06-21,CRITICAL,Ord_204
2010-11-24,MEDIUM,Ord_205
2012-04-27,MEDIUM,Ord_206
2012-08-28,LOW,Ord_207
2011-07-31,HIGH,Ord_208
2012-06-10,MEDIUM,Ord_209
2010-06-02,NOT SPECIFIED,Ord_210
2011-10-17,NOT SPECIFIED,Ord_211
2009-08-20,NOT SPECIFIED,Ord_212
2010-06-14,CRITICAL,Ord_213
2010-02-27,NOT SPECIFIED,Ord_214
2009-08-15,HIGH,Ord_215
2011-05-14,HIGH,Ord_216
2010-07-10,CRITICAL,Ord_217
2009-10-23,NOT SPECIFIED,Ord_218
2010-09-06,MEDIUM,Ord_219
2011-10-01,NOT SPECIFIED,Ord_220
2009-01-30,CRITICAL,Ord_221
2011-03-28,LOW,Ord_222
2010-11-22,LOW,Ord_223
2011-05-30,NOT SPECIFIED,Ord_224
2012-05-13,HIGH,Ord_225
2010-08-06,MEDIUM,Ord_226
2009-11-29,MEDIUM,Ord_227
2012-01-09,HIGH,Ord_228
2010-02-26,MEDIUM,Ord_229
2012-05-21,MEDIUM,Ord_230
2009-08-11,NOT SPECIFIED,Ord_231
2010-08-27,MEDIUM,Ord_232
2012-08-17,HIGH,Ord_233
2012-09-11,HIGH,Ord_234
2011-02-06,CRITICAL,Ord_235
2011-10-08,HIGH,Ord_236
2009-02-27,LOW,Ord_237
2010-07-06,NOT SPECIFIED,Ord_238
2012-02-17,LOW,Ord_239
2012-02-23,LOW,Ord_240
2009-10-15,CRITICAL,Ord_241
2009-03-13,CRITICAL,Ord_242
2010-12-03,MEDIUM,Ord_243
2009-07-07,LOW,Ord_244
2012-11-21,LOW,Ord_245
2009-02-03,MEDIUM,Ord_246
2011-09-22,HIGH,Ord_247
2011-07-21,NOT SPECIFIED,Ord_248
2009-07-13,NOT SPECIFIED,Ord_249
2010-03-29,HIGH,Ord_250
2010-06-02,LOW,Ord_251
2012-12-09,LOW,Ord_252
2010-12-22,NOT SPECIFIED,Ord_253
2009-05-30,CRITICAL,Ord_254
2012-12-21,CRITICAL,Ord_255
2012-02-14,NOT SPECIFIED,Ord_256
2010-03-07,NOT SPECIFIED,Ord_257
2011-05-16,CRITICAL,Ord_258
2010-07-03,MEDIUM,Ord_259
2009-04-27,NOT SPECIFIED,Ord_260
2012-07-04,HIGH,Ord_261
2010-12-31,MEDIUM,Ord_262
2010-02-02,NOT SPECIFIED,Ord_263
2012-04-15,NOT SPECIFIED,Ord_264
2010-05-19,HIGH,Ord_265
2009-07-27,NOT SPECIFIED,Ord_266
2009-03-31,NOT SPECIFIED,Ord_267
2012-11-06,CRITICAL,Ord_268
2010-01-09,NOT SPECIFIED,Ord_269
2012-09-08,CRITICAL,Ord_270
2010-07-05,HIGH,Ord_271
2011-08-25,MEDIUM,Ord_272
2010-09-21,CRITICAL,Ord_273
2012-06-30,LOW,Ord_274
2011-01-17,CRITICAL,Ord_275
2010-10-10,CRITICAL,Ord_276
2011-09-06,HIGH,Ord_277
2012-06-26,LOW,Ord_278
2010-03-16,MEDIUM,Ord_279
2010-11-13,CRITICAL,Ord_280
2009-11-14,MEDIUM,Ord_281
2011-12-09,HIGH,Ord_282
2009-11-23,MEDIUM,Ord_283
2010-10-07,CRITICAL,Ord_284
2009-06-03,MEDIUM,Ord_285
2011-02-17,LOW,Ord_286
2011-11-19,HIGH,Ord_287
2011-03-06,CRITICAL,Ord_288
2010-05-25,HIGH,Ord_289
2009-05-30,NOT SPECIFIED,Ord_290
2012-08-30,HIGH,Ord_291
2011-12-16,CRITICAL,Ord_292
2009-09-12,NOT SPECIFIED,Ord_293
2012-03-07,CRITICAL,Ord_294
2010-12-24,HIGH,Ord_295
2011-05-17,LOW,Ord_296
2012-11-01,NOT SPECIFIED,Ord_297
2011-03-10,NOT SPECIFIED,Ord_298
2010-05-03,NOT SPECIFIED,Ord_299
2011-05-11,HIGH,Ord_300
2009-05-01,HIGH,Ord_301
2010-11-25,MEDIUM,Ord_302
2011-08-04,HIGH,Ord_303
2010-03-31,CRITICAL,Ord_304
2012-10-03,NOT SPECIFIED,Ord_305
2009-02-20,MEDIUM,Ord_306
2009-01-10,CRITICAL,Ord_307
2012-01-11,NOT SPECIFIED,Ord_308
2011-07-21,HIGH,Ord_309
2010-11-23,NOT SPECIFIED,Ord_310
2010-06-02,NOT SPECIFIED,Ord_311
2011-04-01,MEDIUM,Ord_312
2009-02-08,MEDIUM,Ord_313
2010-05-06,HIGH,Ord_314
2009-02-08,CRITICAL,Ord_315
2010-12-28,HIGH,Ord_316
2012-10-10,CRITICAL,Ord_317
2011-02-04,CRITICAL,Ord_318
2009-11-25,CRITICAL,Ord_319
2012-11-04,CRITICAL,Ord_320
2010-02-16,LOW,Ord_321
2010-09-24,HIGH,Ord_322
2009-02-21,LOW,Ord_323
2012-11-11,CRITICAL,Ord_324
2011-10-27,CRITICAL,Ord_325
2009-12-16,LOW,Ord_326
2010-07-05,CRITICAL,Ord_327
2011-08-01,MEDIUM,Ord_328
2012-09-07,HIGH,Ord_329
2009-09-03,HIGH,Ord_330
2011-12-30,HIGH,Ord_331
2009-03-29,NOT SPECIFIED,Ord_332
2011-02-13,CRITICAL,Ord_333
2011-01-28,NOT SPECIFIED,Ord_334
2012-08-09,MEDIUM,Ord_335
2009-05-18,CRITICAL,Ord_336
2012-07-29,LOW,Ord_337
2012-04-22,CRITICAL,Ord_338
2012-07-16,NOT SPECIFIED,Ord_339
2012-09-22,HIGH,Ord_340
2010-05-20,CRITICAL,Ord_341
2009-02-12,HIGH,Ord_342
2010-01-06,MEDIUM,Ord_343
2010-09-25,MEDIUM,Ord_344
2012-11-19,MEDIUM,Ord_345
2010-12-14,LOW,Ord_346
2012-10-25,LOW,Ord_347
2010-06-17,HIGH,Ord_348
2012-06-29,LOW,Ord_349
2009-01-02,LOW,Ord_350
2011-08-25,CRITICAL,Ord_351
2009-06-20,LOW,Ord_352
2010-03-05,CRITICAL,Ord_353
2009-07-04,LOW,Ord_354
2011-02-09,LOW,Ord_355
2011-04-14,MEDIUM,Ord_356
2011-02-13,NOT SPECIFIED,Ord_357
2011-07-30,MEDIUM,Ord_358
2010-10-08,MEDIUM,Ord_359
2009-06-04,HIGH,Ord_360
2010-10-26,HIGH,Ord_361
2012-05-26,LOW,Ord_362
2012-10-09,LOW,Ord_363
2011-03-16,LOW,Ord_364
2011-06-18,HIGH,Ord_365
2011-11-01,LOW,Ord_366
2009-05-03,NOT SPECIFIED,Ord_367
2009-12-14,LOW,Ord_368
2009-02-02,NOT SPECIFIED,Ord_369
2009-08-26,LOW,Ord_370
